"","Rho","MAE","MAENorm","MAPE","RMSE","RMSENorm","Rho","MAE","MAENorm","MAPE","RMSE","RMSENorm"
"Dd",0.8778,101.3635,0.1475,1.0838,21456.3464,31.2319,0.8721,101.8036,0.1481,Inf,21778.2932,31.6913
"Gg",0.684,62.382,0.269,4.1108,10593.4168,45.681,0.7458,53.329,0.2559,Inf,8829.5779,42.3684
"Gm",0.617,35.1273,0.2296,4.1267,3506.1875,22.9163,0.6551,30.4405,0.2235,Inf,2870.3233,21.0743
"Md",0.6132,42.2544,0.4402,2.3402,33598.6393,349.9858,0.5675,6.9392,1.1192,Inf,4827.1487,778.5724
"Me",0.7244,45.1208,0.2234,2.3951,4290.4136,21.2397,0.8452,17.6054,0.1677,Inf,1645.31,15.6696
"Zc",0.5253,29.9419,0.1788,2.4208,5013.4874,29.9313,0.6014,19.4567,0.3243,Inf,2926.4545,48.7742
"Mb",0.2681,8.7446,0.3123,1.8738,189.4019,6.7644,0.6796,5.441,0.3023,Inf,101.6545,5.6475
"Mm",0.3446,4.9012,0.3063,1.0988,84.0498,5.2531,0.5809,2.7647,0.395,Inf,36.0706,5.1529
"Kg",0.5888,3.0582,0.3058,1.0026,33.4121,3.3412,0.576,1.4757,0.2108,Inf,14.6859,2.098
"Pm",0.648,126.6313,0.27,3.6412,36718.267,78.2905,0.664,124.0857,0.269,Inf,35819.9608,77.6669
